zenodo_id,doi,zenodo_url,title,creators,publication_date,file_count,extracted_chars
17521916,10.5281/zenodo.17521916,https://zenodo.org/records/17521916,Action plan for the  implementation commitments  under the agreement on the  reform of scientific research  assessment 2025–2028,Vilniaus kolegija / Higher Education Institution,2025-11-04,1,15294
17535678,10.5281/zenodo.17535678,https://zenodo.org/records/17535678,COARA_Action plan AIDEA,"Zattoni, Alessandro",2025-11-05,1,27588
17552125,10.5281/zenodo.17552125,https://zenodo.org/records/17552125,TU Dortmund University Action Plan to Reform Research Assessment 2025,TU Dortmund University,2025-11-07,1,14372
17609149,10.5281/zenodo.17609149,https://zenodo.org/records/17609149,CoARA Action Plan of Kazimierz Wielki University,Kazimierz Wielki University in Bydgoszcz,2025-11-14,1,11179
17629975,10.5281/zenodo.17629975,https://zenodo.org/records/17629975,CoARA Action Plan UCLouvain 2024-2029,UCLouvain,2025-11-17,1,25058
17639404,10.5281/zenodo.17639404,https://zenodo.org/records/17639404,Society of Research Software Engineering CoARA Action Plan,"Ahern, Samantha; Atkinson, J.W.; Piatek, Stef",2025-11-18,1,11253
17672533,10.5281/zenodo.17672533,https://zenodo.org/records/17672533,Fonds de recherche du Québec (FRQ) - Plan d'action CoARA Action Plan - V1 bilingue-bilingual - Juin/June 2025,Fonds de recherche du Québec - FRQ,2025-06-17,1,153485
17788892,10.5281/zenodo.17788892,https://zenodo.org/records/17788892,University of Cagliari COARA action plan,University of Cagliari (UNICA),2025-12-02,1,10049
17799849,10.5281/zenodo.17799849,https://zenodo.org/records/17799849,CoARA Action Plan for the University of Applied Sciences and Arts Northwestern Switzerland FHNW,"Joller, Stefan; Bühler, Lars; Kofler, Andrea; Perrig, Sebastian",2025-12-10,1,14088
17877251,10.5281/zenodo.17877251,https://zenodo.org/records/17877251,CoARA Action Plan Tilburg University,Tilburg University,2025-12-10,1,14326
17898654,10.5281/zenodo.17898654,https://zenodo.org/records/17898654,UAntwerpen_CoARA Action Plan,University of Antwerp,2025-12-11,1,20521
17914756,10.5281/zenodo.17914756,https://zenodo.org/records/17914756,CoARA Action Plan,Leibniz Association,2025-12-12,1,32651
17919666,10.5281/zenodo.17919666,https://zenodo.org/records/17919666,The CoARA process at LUT University,"Lappeenranta-Lahti University of Technology; Huutoniemi, Katri",2025-12-12,1,17759
17922159,10.5281/zenodo.17922159,https://zenodo.org/records/17922159,Dublin City University CoARA Action Plan 2025,"Coulter, Maura",2025-12-13,1,9891
17938775,10.5281/zenodo.17938775,https://zenodo.org/records/17938775,CoARA Action Plan 2025-2028_Universidad Politécnica de Cartagena_UPCT_Spain,Universidad Politécnica de Cartagena,2025-12-15,2,58920
17965996,10.5281/zenodo.17965996,https://zenodo.org/records/17965996,VIU–CoARA Action Plan 2025–2028,"Marquina Rodríguez, M.; Andreu Fernandez, Vicente; Marti Parreño, Jose",2025-12-17,1,42547
17975082,10.5281/zenodo.17975082,https://zenodo.org/records/17975082,CoARA Boost CF1 - OSCAR - University of Cyprus CoARA Action plan,"University of Cyprus; Demetriades, Marios; Moiras, Panagiotis",2025-12-18,1,30915
17975762,10.5281/zenodo.17975762,https://zenodo.org/records/17975762,CoARA Boost CF1 - OSCAR - UCY Actionable Policy-Related Strategy,"Moiras, Panagiotis",2025-12-18,1,20048
17975863,10.5281/zenodo.17975863,https://zenodo.org/records/17975863,CoARA Boost CF1 - OSCAR - Scientific Guide in Validating CoARA Adjustment Practices Using Research-in-Research,"Maniadis, Zacharias",2025-12-18,1,35352
17977333,10.5281/zenodo.17977333,https://zenodo.org/records/17977333,CoARA Boost CF1 - SuHAMK - The Finnish National Chapter_28.12.2025 live meeting_Action Plan Presentation,"Joro, Veera",2025-12-18,1,1305
18032051,10.5281/zenodo.18032051,https://zenodo.org/records/18032051,Zurich University of the Arts CoARA Action Plan,Zurich University of the Arts,2025-12-18,1,11409
18172295,10.5281/zenodo.18172295,https://zenodo.org/records/18172295,Karlstad University CoARA Action Plan 2025,"Andersson, Sofia; Friman, Margareta",2026-01-07,1,11410
18219864,10.5281/zenodo.18219864,https://zenodo.org/records/18219864,CoARA Action Plan for the Austrian Agency for Research Integrity,"Cumberlidge, Freya; Chai, Sabine",2026-01-12,1,8717
18242817,10.5281/zenodo.18242817,https://zenodo.org/records/18242817,CoARA Action Plan by the Helmholtz Open Science Office,Helmholtz Open Science Office,2026-02-13,1,29836
18373970,10.5281/zenodo.18373970,https://zenodo.org/records/18373970,CoARA action Plan Civitas University,Civitas University,2026-01-26,1,24504
18375224,10.5281/zenodo.18375224,https://zenodo.org/records/18375224,University of Copenhagen Action Plan on Agreement on Reforming Research Assessment,University of Copenhagen,2026-01-26,1,12439
